protocol_id,pmcid,status,domain,xml_path,has_xml,has_body,has_methods,why_not
Bio-protocol-298,PMC8291079,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC8291079.xml,y,n,n,no_body
Bio-protocol-302,PMC10119281,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC10119281.xml,y,y,y,
Bio-protocol-331,PMC6157965,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC6157965.xml,y,y,y,
Bio-protocol-329,PMC9308743,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9308743.xml,y,n,n,no_body
Bio-protocol-330,PMC10159121,low_conf,Bioinformatics Methods,data/gold/pmc_jats/PMC10159121.xml,y,y,y,
Bio-protocol-351,PMC9342782,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9342782.xml,y,y,y,
Bio-protocol-352,PMC9441830,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9441830.xml,y,y,y,
Bio-protocol-353,PMC7611683,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC7611683.xml,y,y,y,
Bio-protocol-356,PMC9881172,low_conf,Synthetic Biology & Bioengineering,data/gold/pmc_jats/PMC9881172.xml,y,y,y,
Bio-protocol-354,PMC9091226,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC9091226.xml,y,y,y,
Bio-protocol-358,PMC9440896,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9440896.xml,y,y,y,
Bio-protocol-360,PMC10405909,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC10405909.xml,y,y,y,
Bio-protocol-362,PMC9342986,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9342986.xml,y,n,n,no_body
Bio-protocol-368,PMC8860590,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC8860590.xml,y,y,y,
Bio-protocol-371,PMC8428830,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8428830.xml,y,y,y,
Bio-protocol-381,PMC9106586,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9106586.xml,y,y,y,
Bio-protocol-383,PMC6041199,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC6041199.xml,y,n,n,no_body
Bio-protocol-394,PMC7035787,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7035787.xml,y,n,n,no_body
Bio-protocol-399,PMC9730659,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC9730659.xml,y,y,y,
Bio-protocol-404,PMC9260720,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9260720.xml,y,y,n,no_methods
Bio-protocol-409,PMC8185432,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8185432.xml,y,y,y,
Bio-protocol-412,PMC5559433,low_conf,Synthetic Biology & Bioengineering,data/gold/pmc_jats/PMC5559433.xml,y,y,y,
Bio-protocol-410,PMC8743016,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8743016.xml,y,y,y,
Bio-protocol-415,PMC9440122,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9440122.xml,y,y,y,
Bio-protocol-418,PMC9668159,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9668159.xml,y,y,y,
Bio-protocol-420,PMC6052067,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC6052067.xml,y,y,y,
Bio-protocol-422,PMC9232601,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9232601.xml,y,y,y,
Bio-protocol-426,PMC10291034,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC10291034.xml,y,n,n,no_body
Bio-protocol-431,PMC9342993,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9342993.xml,y,n,n,no_body
Bio-protocol-432,PMC9418313,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9418313.xml,y,y,y,
Bio-protocol-430,PMC9360330,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC9360330.xml,y,y,y,
Bio-protocol-435,PMC9307174,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9307174.xml,y,y,y,
Bio-protocol-440,PMC8633499,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8633499.xml,y,y,y,
Bio-protocol-442,PMC9782786,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9782786.xml,y,n,n,no_body
Bio-protocol-441,PMC9274186,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9274186.xml,y,y,y,
Bio-protocol-453,PMC9825974,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9825974.xml,y,y,y,
Bio-protocol-459,PMC9342996,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9342996.xml,y,y,y,
Bio-protocol-461,PMC9332157,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9332157.xml,y,y,y,
Bio-protocol-460,PMC9492775,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC9492775.xml,y,y,y,
Bio-protocol-467,PMC9374761,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC9374761.xml,y,y,y,
Bio-protocol-468,PMC8394541,low_conf,Synthetic Biology & Bioengineering,data/gold/pmc_jats/PMC8394541.xml,y,y,y,
Bio-protocol-469,PMC9440911,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9440911.xml,y,y,y,
Bio-protocol-471,PMC8313130,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8313130.xml,y,y,y,
Bio-protocol-472,PMC9410883,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9410883.xml,y,y,y,
Bio-protocol-474,PMC9203776,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9203776.xml,y,y,y,
Bio-protocol-477,PMC9503786,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9503786.xml,y,y,y,
Bio-protocol-478,PMC9226606,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9226606.xml,y,y,y,
Bio-protocol-479,PMC9746318,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9746318.xml,y,n,n,no_body
Bio-protocol-488,PMC10420377,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC10420377.xml,y,y,y,
Bio-protocol-496,PMC7320135,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC7320135.xml,y,y,y,
Bio-protocol-499,PMC9342984,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC9342984.xml,y,y,y,
Bio-protocol-505,PMC9189289,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9189289.xml,y,y,y,
Bio-protocol-509,PMC6997692,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC6997692.xml,y,n,n,no_body
Bio-protocol-522,PMC8890769,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC8890769.xml,y,n,n,no_body
Bio-protocol-527,PMC9157649,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9157649.xml,y,y,y,
Bio-protocol-528,PMC9706465,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9706465.xml,y,n,n,no_body
Bio-protocol-529,PMC9074903,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9074903.xml,y,y,y,
Bio-protocol-535,PMC7362759,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC7362759.xml,y,n,n,no_body
Bio-protocol-541,PMC8774839,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8774839.xml,y,n,n,no_body
Bio-protocol-551,PMC8206248,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC8206248.xml,y,n,n,no_body
Bio-protocol-550,PMC8428832,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8428832.xml,y,y,y,
Bio-protocol-556,PMC9056376,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9056376.xml,y,n,n,no_body
Bio-protocol-571,PMC7102954,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC7102954.xml,y,y,y,
Bio-protocol-578,PMC9230757,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9230757.xml,y,y,y,
Bio-protocol-579,PMC10140759,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC10140759.xml,y,y,y,
Bio-protocol-581,PMC8959585,low_conf,Synthetic Biology & Bioengineering,data/gold/pmc_jats/PMC8959585.xml,y,y,y,
Bio-protocol-582,PMC10233494,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC10233494.xml,y,n,n,no_body
Bio-protocol-590,PMC7737670,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC7737670.xml,y,n,n,no_body
Bio-protocol-589,PMC11194769,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC11194769.xml,y,y,y,
Bio-protocol-599,PMC8637172,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC8637172.xml,y,y,y,
Bio-protocol-601,PMC9051210,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC9051210.xml,y,y,y,
Bio-protocol-604,PMC8400135,low_conf,Synthetic Biology & Bioengineering,data/gold/pmc_jats/PMC8400135.xml,y,y,y,
Bio-protocol-610,PMC8217053,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC8217053.xml,y,y,y,
Bio-protocol-611,PMC9342984,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC9342984.xml,y,y,y,
Bio-protocol-612,PMC9464267,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC9464267.xml,y,n,n,no_body
Bio-protocol-614,PMC7374171,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC7374171.xml,y,y,y,
Bio-protocol-615,PMC8844117,low_conf,Genomics Technologies,data/gold/pmc_jats/PMC8844117.xml,y,y,y,
Bio-protocol-617,PMC9039851,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9039851.xml,y,y,y,
Bio-protocol-629,PMC8903633,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8903633.xml,y,y,y,
Bio-protocol-632,PMC5482062,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC5482062.xml,y,y,y,
Bio-protocol-638,PMC7191636,low_conf,Histology Techniques,data/gold/pmc_jats/PMC7191636.xml,y,n,n,no_body
Bio-protocol-648,PMC8608356,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8608356.xml,y,y,y,
Bio-protocol-649,PMC8155019,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8155019.xml,y,y,y,
Bio-protocol-650,PMC8680120,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC8680120.xml,y,y,y,
Bio-protocol-651,PMC8115815,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8115815.xml,y,y,y,
Bio-protocol-659,PMC7261163,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7261163.xml,y,y,y,
Bio-protocol-660,PMC8911296,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8911296.xml,y,y,y,
Bio-protocol-663,PMC7877613,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC7877613.xml,y,y,y,
Bio-protocol-665,PMC8229835,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8229835.xml,y,n,n,no_body
Bio-protocol-664,PMC8632896,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8632896.xml,y,y,y,
Bio-protocol-668,PMC8729420,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8729420.xml,y,n,n,no_body
Bio-protocol-672,PMC8570687,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8570687.xml,y,y,y,
Bio-protocol-687,PMC6581886,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC6581886.xml,y,y,y,
Bio-protocol-691,PMC8307077,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8307077.xml,y,y,y,
Bio-protocol-707,PMC7487709,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7487709.xml,y,y,y,
Bio-protocol-709,PMC8528810,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8528810.xml,y,y,y,
Bio-protocol-712,PMC7347093,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7347093.xml,y,y,y,
Bio-protocol-713,PMC8643707,low_conf,Genomics Technologies,data/gold/pmc_jats/PMC8643707.xml,y,y,y,
Bio-protocol-721,PMC7802944,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7802944.xml,y,y,y,
Bio-protocol-720,PMC8513464,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8513464.xml,y,n,n,no_body
Bio-protocol-722,PMC7474696,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC7474696.xml,y,y,y,
Bio-protocol-728,PMC8504969,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8504969.xml,y,y,y,
Bio-protocol-725,PMC8458290,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC8458290.xml,y,y,y,
Bio-protocol-730,PMC8699947,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8699947.xml,y,y,y,
Bio-protocol-732,PMC8454074,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC8454074.xml,y,y,y,
Bio-protocol-734,PMC8754656,low_conf,Genomics Technologies,data/gold/pmc_jats/PMC8754656.xml,y,y,y,
Bio-protocol-738,PMC5734390,low_conf,Structural Biology Techniques,data/gold/pmc_jats/PMC5734390.xml,y,n,n,no_body
Bio-protocol-740,PMC8375296,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8375296.xml,y,y,y,
Bio-protocol-739,PMC8384419,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8384419.xml,y,y,y,
Bio-protocol-742,PMC8518694,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8518694.xml,y,y,y,
Bio-protocol-746,PMC7238552,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7238552.xml,y,n,n,no_body
Bio-protocol-749,PMC8682726,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8682726.xml,y,n,n,no_body
Bio-protocol-753,PMC8307077,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8307077.xml,y,y,y,
Bio-protocol-754,PMC8364678,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8364678.xml,y,y,n,no_methods
Bio-protocol-757,PMC7362310,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7362310.xml,y,n,n,no_body
Bio-protocol-762,PMC8214625,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8214625.xml,y,y,y,
Bio-protocol-765,PMC8229835,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8229835.xml,y,n,n,no_body
Bio-protocol-763,PMC8403943,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8403943.xml,y,n,n,no_body
Bio-protocol-777,PMC8278574,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8278574.xml,y,y,y,
Bio-protocol-775,PMC7536657,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7536657.xml,y,n,n,no_body
Bio-protocol-778,PMC8485661,low_conf,Pharmacology & Drug Development,data/gold/pmc_jats/PMC8485661.xml,y,y,y,
Bio-protocol-782,PMC7445803,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7445803.xml,y,y,y,
Bio-protocol-781,PMC7729850,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7729850.xml,y,y,y,
Bio-protocol-780,PMC8428684,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC8428684.xml,y,y,y,
Bio-protocol-784,PMC7851960,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7851960.xml,y,y,y,
Bio-protocol-787,PMC8262943,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8262943.xml,y,y,y,
Bio-protocol-789,PMC8566206,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8566206.xml,y,n,n,no_body
Bio-protocol-791,PMC6825279,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC6825279.xml,y,y,y,
Bio-protocol-790,PMC7794361,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7794361.xml,y,y,y,
Bio-protocol-798,PMC6410799,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC6410799.xml,y,n,n,no_body
Bio-protocol-799,PMC7479900,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC7479900.xml,y,n,n,no_body
Bio-protocol-804,PMC8086985,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC8086985.xml,y,n,n,no_body
Bio-protocol-801,PMC10405909,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC10405909.xml,y,y,y,
Bio-protocol-805,PMC8046753,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8046753.xml,y,y,y,
Bio-protocol-811,PMC5308228,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC5308228.xml,y,n,n,no_body
Bio-protocol-810,PMC7036012,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7036012.xml,y,y,y,
Bio-protocol-809,PMC7886143,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7886143.xml,y,y,y,
Bio-protocol-814,PMC8276805,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC8276805.xml,y,y,y,
Bio-protocol-816,PMC8539892,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC8539892.xml,y,y,y,
Bio-protocol-815,PMC3558493,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC3558493.xml,y,y,y,
Bio-protocol-817,PMC8204911,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8204911.xml,y,y,y,
Bio-protocol-822,PMC7895410,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC7895410.xml,y,y,y,
Bio-protocol-821,PMC7870816,low_conf,Pharmacology & Drug Development,data/gold/pmc_jats/PMC7870816.xml,y,y,y,
Bio-protocol-823,PMC7901905,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7901905.xml,y,y,y,
Bio-protocol-824,PMC6968433,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC6968433.xml,y,y,y,
Bio-protocol-825,PMC7010555,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7010555.xml,y,n,n,no_body
Bio-protocol-831,PMC7662947,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC7662947.xml,y,y,y,
Bio-protocol-832,PMC8185449,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8185449.xml,y,y,y,
Bio-protocol-835,PMC8136914,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8136914.xml,y,n,n,no_body
Bio-protocol-833,PMC7862487,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7862487.xml,y,y,y,
Bio-protocol-836,PMC7937733,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7937733.xml,y,y,y,
Bio-protocol-838,PMC7661932,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC7661932.xml,y,y,y,
Bio-protocol-839,PMC7667738,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7667738.xml,y,y,y,
Bio-protocol-840,PMC8101752,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC8101752.xml,y,y,y,
Bio-protocol-843,PMC7877769,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7877769.xml,y,y,y,
Bio-protocol-846,PMC7649287,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC7649287.xml,y,y,y,
Bio-protocol-844,PMC8043394,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC8043394.xml,y,y,y,
Bio-protocol-849,PMC7866670,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7866670.xml,y,y,y,
Bio-protocol-851,PMC7561495,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7561495.xml,y,y,y,
Bio-protocol-856,PMC7913695,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7913695.xml,y,y,y,
Bio-protocol-858,PMC7578108,low_conf,Pharmacology & Drug Development,data/gold/pmc_jats/PMC7578108.xml,y,n,n,no_body
Bio-protocol-860,PMC8382047,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC8382047.xml,y,n,n,no_body
Bio-protocol-861,PMC7641209,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7641209.xml,y,y,y,
Bio-protocol-863,PMC8016741,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8016741.xml,y,n,n,no_body
Bio-protocol-867,PMC7350407,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7350407.xml,y,y,y,
Bio-protocol-868,PMC7822144,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7822144.xml,y,n,n,no_body
Bio-protocol-874,PMC7990224,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7990224.xml,y,y,y,
Bio-protocol-876,PMC8072281,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC8072281.xml,y,y,y,
Bio-protocol-878,PMC8497498,low_conf,Pharmacology & Drug Development,data/gold/pmc_jats/PMC8497498.xml,y,y,y,
Bio-protocol-882,PMC7751883,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7751883.xml,y,y,y,
Bio-protocol-881,PMC7334854,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC7334854.xml,y,y,y,
Bio-protocol-884,PMC7884426,low_conf,Immunological Techniques,data/gold/pmc_jats/PMC7884426.xml,y,y,y,
Bio-protocol-883,PMC6016080,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC6016080.xml,y,y,y,
Bio-protocol-887,PMC7903996,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7903996.xml,y,y,y,
Bio-protocol-889,PMC7793270,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7793270.xml,y,y,y,
Bio-protocol-893,PMC7968259,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7968259.xml,y,y,y,
Bio-protocol-890,PMC7848706,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7848706.xml,y,n,n,no_body
Bio-protocol-895,PMC7651873,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7651873.xml,y,y,y,
Bio-protocol-897,PMC7806734,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7806734.xml,y,y,y,
Bio-protocol-900,PMC7969754,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7969754.xml,y,y,y,
Bio-protocol-901,PMC4699014,low_conf,Histology Techniques,data/gold/pmc_jats/PMC4699014.xml,y,y,y,
Bio-protocol-904,PMC8091666,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC8091666.xml,y,y,y,
Bio-protocol-905,PMC7106853,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC7106853.xml,y,y,y,
Bio-protocol-908,PMC7419716,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7419716.xml,y,y,y,
Bio-protocol-911,PMC8254505,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8254505.xml,y,y,y,
Bio-protocol-916,PMC7561493,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC7561493.xml,y,y,y,
Bio-protocol-917,PMC7614428,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC7614428.xml,y,n,n,no_body
Bio-protocol-921,PMC7943015,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7943015.xml,y,y,y,
Bio-protocol-924,PMC7511413,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC7511413.xml,y,y,y,
Bio-protocol-925,PMC6586798,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC6586798.xml,y,y,y,
Bio-protocol-928,PMC7256449,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7256449.xml,y,y,y,
Bio-protocol-933,PMC7566572,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC7566572.xml,y,y,y,
Bio-protocol-931,PMC5841731,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC5841731.xml,y,n,n,no_body
Bio-protocol-937,PMC8432736,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC8432736.xml,y,y,y,
